SYSTEM,BACKUP_TYPE,STATUS,START_TIME,END_TIME,DESTINATION_TYPE
PRD,complete data backup,successful,2026-08-02 22:00:00,2026-08-02 23:31:00,file
PRD,complete data backup,failed,2026-08-09 22:00:00,2026-08-09 22:06:00,file
PRD,complete data backup,failed,2026-08-16 22:00:00,2026-08-16 22:05:00,file
PRD,differential data backup,successful,2026-08-05 22:00:00,2026-08-05 22:26:00,file
PRD,differential data backup,successful,2026-08-12 22:00:00,2026-08-12 22:24:00,file
PRD,log backup,successful,2026-08-14 02:00:00,2026-08-14 02:02:00,file
PRD,log backup,successful,2026-08-14 06:00:00,2026-08-14 06:02:00,file
PRD,log backup,successful,2026-08-14 10:00:00,2026-08-14 10:02:00,file
PRD,log backup,successful,2026-08-14 14:00:00,2026-08-14 14:02:00,file
PRD,log backup,successful,2026-08-15 02:00:00,2026-08-15 02:02:00,file
PRD,log backup,successful,2026-08-15 06:00:00,2026-08-15 06:02:00,file
PRD,log backup,successful,2026-08-15 10:00:00,2026-08-15 10:02:00,file
PRD,log backup,failed,2026-08-18 02:00:00,2026-08-18 02:00:20,file
PRD,log backup,failed,2026-08-18 06:00:00,2026-08-18 06:00:20,file
PRD,log backup,failed,2026-08-19 02:00:00,2026-08-19 02:00:20,file
PRD,log backup,failed,2026-08-20 02:00:00,2026-08-20 02:00:20,file
PRD,unknown,successful,2026-08-21 22:00:00,2026-08-21 22:40:00,file
