BUKRS,BELNR,GJAHR,BLART,BUDAT,CPUDT,USNAM,TCODE,STBLG
1000,0100000001,2026,SA,20260630,20260728,AMILLER,FB01,
1000,0100000002,2026,SA,20260601,20260615,AMILLER,FB01,
1000,0100000003,2026,KR,20260806,20260808,KZHANG,FB60,
1000,0100000004,2026,SA,20260706,20260706,BATCHUSER,,0100000005
1000,0100000005,2026,SA,20260706,20260706,BATCHUSER,,
1000,0100000006,2026,DR,20260707,20260707,JSMITH,FB70,0100000007
1000,0100000007,2026,DR,20260707,20260707,JSMITH,FB08,
1000,0100000008,2026,KR,20260708,20260708,KZHANG,FB60,0100000009
1000,0100000009,2026,KR,20260708,20260708,KZHANG,FB08,
1000,0100000010,2026,SA,20260709,20260709,AMILLER,FB50,
1000,0100000011,2026,KR,20260710,20260710,KZHANG,FB60,
1000,0100000012,2026,DR,20260710,20260710,JSMITH,FB70,
