FF_USER,ACTUAL_USER,LOGIN_TIME,LOGOUT_TIME,REASON,REVIEWED,REVIEWER
FF_FIN_ADMIN,JSMITH,2025-02-01 09:15:00,2025-02-01 15:45:00,Month-end closing adjustment,YES,AGARCIA
FF_FIN_ADMIN,JSMITH,2025-02-05 10:00:00,2025-02-05 11:30:00,Vendor payment correction,YES,AGARCIA
FF_FIN_ADMIN,JSMITH,2025-02-10 08:30:00,2025-02-10 10:00:00,,NO,
FF_FIN_ADMIN,JSMITH,2025-02-15 14:00:00,2025-02-15 16:00:00,Invoice reprocessing,YES,AGARCIA
FF_FIN_ADMIN,JSMITH,2025-02-18 09:00:00,2025-02-18 12:00:00,Tax correction,YES,AGARCIA
FF_FIN_ADMIN,JSMITH,2025-02-22 11:00:00,2025-02-22 13:00:00,Bank reconciliation fix,NO,
FF_BASIS_ADMIN,LWANG,2025-02-03 22:00:00,2025-02-04 06:30:00,Emergency system patch,YES,LWANG
FF_BASIS_ADMIN,LWANG,2025-02-12 08:00:00,2025-02-12 09:30:00,,NO,
FF_HR_ADMIN,TNGUYEN,2025-02-07 10:00:00,2025-02-07 12:00:00,Payroll correction for terminated employee,YES,DLEE
FF_HR_ADMIN,TNGUYEN,2025-02-14 09:00:00,2025-02-14 11:30:00,Retroactive salary adjustment,NO,
FF_SEC_ADMIN,MWILSON,2025-02-20 16:00:00,2025-02-20 17:30:00,Emergency role fix for go-live,YES,AGARCIA
FF_FIN_ADMIN,DLEE,2025-02-25 08:00:00,2025-02-25 09:00:00,Intercompany posting,YES,JSMITH
