SERVICE_NAME,BINDING,STATUS,AUTHENTICATION,TRANSPORT_BINDING
BAPI_USER_GET_DETAIL,UserGet_WS,ACTIVE,BASIC,HTTPS
BAPI_COMPANYCODE_GETLIST,CompanyCode_WS,ACTIVE,NONE,HTTPS
RFC_READ_TABLE,ReadTable_WS,ACTIVE,BASIC,HTTP
BAPI_ACC_DOCUMENT_POST,AccDoc_WS,ACTIVE,X509,HTTPS
BAPI_PO_CREATE1,POCreate_WS,ACTIVE,BASIC,HTTPS
RFC_SYSTEM_INFO,SysInfo_WS,ACTIVE,TRANSPORT,HTTP
BAPI_MATERIAL_GET_ALL,MatGet_WS,ACTIVE,BASIC,HTTPS
BAPI_CUSTOMER_GETLIST,CustList_WS,ACTIVE,BASIC,HTTPS
BAPI_VENDOR_GETLIST,VendList_WS,ACTIVE,BASIC,HTTPS
SXMB_MESSAGE_SEND,XIMsg_WS,ACTIVE,ANONYMOUS,HTTPS
Z_CUSTOM_REPORT_WS,Custom_WS,ACTIVE,BASIC,HTTPS
Z_INVENTORY_SYNC,InvSync_WS,ACTIVE,BASIC,HTTPS
