PARAMETER,VALUE,INSTANCE
auth/object_disabling_active,Y,PRD_DVEBMGS00_sapprd01
login/no_automatic_user_sapstar,0,PRD_DVEBMGS00_sapprd01
rfc/selftrust,1,PRD_DVEBMGS00_sapprd01
rfc/allowoldticket4tt,yes,PRD_DVEBMGS00_sapprd01
rdisp/msserv_internal,0,PRD_DVEBMGS00_sapprd01
ms/monitor,1,PRD_DVEBMGS00_sapprd01
ucon/rfc/active,0,PRD_DVEBMGS00_sapprd01
gw/prxy_info,,PRD_DVEBMGS00_sapprd01
login/min_password_lng,6,PRD_DVEBMGS00_sapprd01
login/min_password_digits,0,PRD_DVEBMGS00_sapprd01
login/min_password_letters,1,PRD_DVEBMGS00_sapprd01
login/min_password_specials,0,PRD_DVEBMGS00_sapprd01
login/password_expiration_time,180,PRD_DVEBMGS00_sapprd01
login/password_max_idle_initial,30,PRD_DVEBMGS00_sapprd01
login/password_history_size,3,PRD_DVEBMGS00_sapprd01
login/fails_to_session_end,5,PRD_DVEBMGS00_sapprd01
login/fails_to_user_lock,10,PRD_DVEBMGS00_sapprd01
login/no_automatic_user_sapstar,0,PRD_DVEBMGS00_sapprd01
login/disable_multi_gui_login,0,PRD_DVEBMGS00_sapprd01
rfc/reject_insecure_logon,0,PRD_DVEBMGS00_sapprd01
rfc/reject_insecure_logon_data,0,PRD_DVEBMGS00_sapprd01
rfc/allowoldticket4tt,1,PRD_DVEBMGS00_sapprd01
gw/sec_info,,PRD_DVEBMGS00_sapprd01
gw/reg_info,,PRD_DVEBMGS00_sapprd01
rsau/enable,0,PRD_DVEBMGS00_sapprd01
rec/client,,PRD_DVEBMGS00_sapprd01
rdisp/wpdbug_max_no,2,PRD_DVEBMGS00_sapprd01
ssl/ciphersuites,,PRD_DVEBMGS00_sapprd01
auth/rfc_authority_check,0,PRD_DVEBMGS00_sapprd01
auth/no_check_in_some_cases,N,PRD_DVEBMGS00_sapprd01
snc/accept_insecure_rfc,1,PRD_DVEBMGS00_sapprd01
sapgui/user_scripting,TRUE,PRD_DVEBMGS00_sapprd01
login/password_downwards_compatibility,1,PRD_DVEBMGS00_sapprd01
service/protectedwebmethods,NONE,PRD_DVEBMGS00_sapprd01
gw/acl_mode,0,PRD_DVEBMGS00_sapprd01
login/ticket_only_by_https,0,PRD_DVEBMGS00_sapprd01
icf/set_HTTPonly_flag_on_cookies,1,PRD_DVEBMGS00_sapprd01
icm/security_log,LOGFILE=dev_icm_sec LEVEL=1 MAXSIZEKB=1000,PRD_DVEBMGS00_sapprd01
is/HTTP/show_detailed_errors,TRUE,PRD_DVEBMGS00_sapprd01
login/password_compliance_to_current_policy,0,PRD_DVEBMGS00_sapprd01
rsau/integrity,0,PRD_DVEBMGS00_sapprd01
login/password_hash_algorithm,"encoding=RFC2307, algorithm=iSSHA-1, iterations=1024, saltsize=96",PRD_DVEBMGS00_sapprd01
rfc/callback_security_method,1,PRD_DVEBMGS00_sapprd01
