NAME,VALUE
abap/ext_debugging_possible,0
auth/no_check_in_some_cases,Y
auth/object_disabling_active,N
auth/rfc_authority_check,6
gw/acl_mode,1
gw/reg_no_conn_info,255
icf/set_HTTPonly_flag_on_cookies,1
login/disable_multi_gui_login,1
login/fails_to_user_lock,5
login/min_password_lng,15
login/no_automatic_user_sapstar,1
login/password_expiration_time,90
login/password_history_size,10
login/ticket_only_by_https,1
rfc/reject_expired_passwd,1
rsau/enable,1
rsau/integrity,1
service/protectedwebmethods,SDEFAULT
